Product Name,Discounted Price,Orginal Price,Warranty,Stock Status
Philips 32PHT4002/98 32-inch 4000 Series Slim LED TV,699.00,799.00,2 Years,In stock
Toshiba 43-inch Smart LED TV,"1,399.00","1,645.00",2 Years,In stock
Sony 32-inch LED TV,989.00,"1,036.00",2 Years,In stock
Sony 40-inch Full HD LED TV,"1,299.00","1,444.00",2 Years,In stock
Toshiba 49-inch Full HD LED TV,"1,499.00","2,299.00",2 Years,In stock
LG 50-inch UHD TV,"2,399.00","3,300.00",2 Years,In stock
Sony 43-inch X70F 4K UHD HDR Smart TV,"1,599.00","2,199.00",2 Years,In stock
"Sony 40"" Full HD Internet TV","1,549.00","1,885.00",2 Years,In stock
Toshiba 32-inch Pro Theatre LED TV,729.00,980.00,2 Years,In stock
Toshiba 55-inch Pro Theatre Full HD LED TV,"2,399.00","2,669.00",2 Years,In stock
Toshiba 55-inch UHD 4K with Android TV,"2,999.00","4,299.00",2 Years,In stock
Sharp 60-inch 4K UHD Android TV,"3,399.00","4,699.00",2 Years,In stock
Pensonic 24-inch LED TV,399.00,439.00,2 Years,In stock
Philips 50-inch 4K Ultra Slim Smart TV,"1,788.00","2,829.00",2 Years,In stock
Philips 32PHT4002/98 32-inch 4000 Series Slim LED TV,699.00,799.00,2 Years,In stock
Philips 43PFT4002S/98 Full HD Ultra Slim LED TV,"1,149.00","1,499.00",2 Years,In stock
Philips 40-inch Full HD Ultra Slim LED TV,988.00,"1,099.00",2 Years,In stock
LG 55-inch UHD TV,"2,599.00","3,961.00",2 Years,In stock
LG 65-inch UHD TV,"3,669.00","6,131.00",2 Years,In stock
LG 70-inch UHD TV,"5,999.00","9,999.00",2 Years,In stock
"Sharp 50"" 4K UHD Android TV","2,499.00","3,866.00",2 Years,In stock
Sharp 60-inch 4K UHD Easy Smart TV,"2,999.00","4,239.00",2 Years,In stock
Sony 49-inch 4K HDR UHD TV,"2,399.00","2,709.00",2 Years,In stock
Sharp 45-inch Smart UHD TV,"1,688.00","2,539.00",2 Years,In stock
Sharp 45-inch 4K UHD Android TV,"1,999.00","2,999.00",2 Years,In stock
Toshiba 40L5650VM 40-inch Smart TV,"1,299.00","1,649.00",2 Years,In stock
Hisense 49-inch LED TV,"1,299.00","1,829.00",2 Years,In stock
Panasonic 40-inch LED TV,"1,199.00","1,602.00",2 Years,In stock
Sony X75F 55-inch 4K Ultra HD HDR LED Smart TV,"2,999.00","3,259.00",2 Years,In stock
Sony X75F 65-inch 4K Ultra HD HDR LED Smart TV,"4,359.00","4,699.00",2 Years,In stock
Sony 85-inch UHD 4K Android LED TV,"18,199.00","19,559.00",2 Years,In stock
Sony 55-inch KD-55A8F OLED 4K ULTRA HD TV,"7,299.00","7,859.00",2 Years,In stock
