,Product Name,Discounted Price,Original Price,Warranty,Stock Status,4k,Smart,LED,Full HD,Android,OLED,QLED,HDR,PRO,Slim,Curved,8k,Theatre,Dynamic Range,Screen Size,Ultra-HD
0,Philips 32PHT4002/98 32-inch 4000 Series Slim LED TV,699,799,2,In stock,0,0,1,0,0,0,0,0,0,1,0,0,0,0,32,0
1,Toshiba 43-inch Smart LED TV,1399,1645,2,In stock,0,1,1,0,0,0,0,0,0,0,0,0,0,0,43,0
2,Sony 32-inch LED TV,989,1036,2,In stock,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0
3,Sony 40-inch Full HD LED TV,1299,1444,2,In stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,40,0
4,Toshiba 49-inch Full HD LED TV,1499,2299,2,In stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,49,0
5,LG 50-inch UHD TV,2399,3300,2,In stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1
6,Sony 43-inch X70F 4K UHD HDR Smart TV,1599,2199,2,In stock,1,1,0,0,0,0,0,1,0,0,0,0,0,0,43,1
7,"Sony 40"" Full HD Internet TV",1549,1885,2,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0
8,Toshiba 32-inch Pro Theatre LED TV,729,980,2,In stock,0,0,1,0,0,0,0,0,1,0,0,0,1,0,32,0
9,Toshiba 55-inch Pro Theatre Full HD LED TV,2399,2669,2,In stock,0,0,1,1,0,0,0,0,1,0,0,0,1,0,55,0
10,Toshiba 55-inch UHD 4K with Android TV,2999,4299,2,In stock,1,0,0,0,1,0,0,0,0,0,0,0,0,0,55,1
11,Sharp 60-inch 4K UHD Android TV,3399,4699,2,In stock,1,0,0,0,1,0,0,0,0,0,0,0,0,0,60,1
12,Pensonic 24-inch LED TV,399,439,2,In stock,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0
13,Philips 50-inch 4K Ultra Slim Smart TV,1788,2829,2,In stock,1,1,0,0,0,0,0,0,0,1,0,0,0,0,50,0
14,Philips 32PHT4002/98 32-inch 4000 Series Slim LED TV,699,799,2,In stock,0,0,1,0,0,0,0,0,0,1,0,0,0,0,32,0
15,Philips 43PFT4002S/98 Full HD Ultra Slim LED TV,1149,1499,2,In stock,0,0,1,1,0,0,0,0,0,1,0,0,0,0,43,0
16,Philips 40-inch Full HD Ultra Slim LED TV,988,1099,2,In stock,0,0,1,1,0,0,0,0,0,1,0,0,0,0,40,0
17,LG 55-inch UHD TV,2599,3961,2,In stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1
18,LG 65-inch UHD TV,3669,6131,2,In stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1
19,LG 70-inch UHD TV,5999,9999,2,In stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1
20,"Sharp 50"" 4K UHD Android TV",2499,3866,2,In stock,1,0,0,0,1,0,0,0,0,0,0,0,0,0,50,1
21,Sharp 60-inch 4K UHD Easy Smart TV,2999,4239,2,In stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,1
22,Sony 49-inch 4K HDR UHD TV,2399,2709,2,In stock,1,0,0,0,0,0,0,1,0,0,0,0,0,0,49,1
23,Sharp 45-inch Smart UHD TV,1688,2539,2,In stock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,1
24,Sharp 45-inch 4K UHD Android TV,1999,2999,2,In stock,1,0,0,0,1,0,0,0,0,0,0,0,0,0,45,1
25,Toshiba 40L5650VM 40-inch Smart TV,1299,1649,2,In stock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0
26,Hisense 49-inch LED TV,1299,1829,2,In stock,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,0
27,Panasonic 40-inch LED TV,1199,1602,2,In stock,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0
28,Sony X75F 55-inch 4K Ultra HD HDR LED Smart TV,2999,3259,2,In stock,1,1,1,0,0,0,0,1,0,0,0,0,0,0,55,1
29,Sony X75F 65-inch 4K Ultra HD HDR LED Smart TV,4359,4699,2,In stock,1,1,1,0,0,0,0,1,0,0,0,0,0,0,65,1
30,Sony 85-inch UHD 4K Android LED TV,18199,19559,2,In stock,1,0,1,0,1,0,0,0,0,0,0,0,0,0,85,1
31,Sony 55-inch KD-55A8F OLED 4K ULTRA HD TV,7299,7859,2,In stock,1,0,1,0,0,1,0,0,0,0,0,0,0,0,55,1
32,Sony 65-inch KD-65A8F OLED 4K ULTRA HD TV,10799,11659,2,In stock,1,0,1,0,0,1,0,0,0,0,0,0,0,0,65,1
33,Samsung UA65NU7100KXXM 65-inch NU7100 Smart 4K UHD TV,3699,4599,2,In stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,65,1
34,Samsung 65-Inch NU7300 Curved Smart 4K UHD TV,3999,4999,2,In stock,1,1,0,0,0,0,0,0,0,0,1,0,0,0,65,1
35,Sony X70F 49-inch 4K Ultra HD HDR LED Smart TV,1899,2459,2,In stock,1,1,1,0,0,0,0,1,0,0,0,0,0,0,49,1
36,Sony X70F 55-inch 4K Ultra HD HDR LED Smart TV,2599,2959,2,In stock,1,1,1,0,0,0,0,1,0,0,0,0,0,0,55,1
37,Panasonic TH-65FZ950K 65-inch OLED 4K Pro Ultra HD Smart TV,11999,15999,2,In stock,1,1,1,0,0,1,0,0,1,0,0,0,0,0,65,1
38,Panasonic TH-55FX600K 55-inch 4K Ultra HD Smart TV,2799,4479,2,In stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,55,1
39,Panasonic TH-55FZ950K 55-inch OLED 4K Pro Ultra HD Smart TV,7999,10999,2,In stock,1,1,1,0,0,1,0,0,1,0,0,0,0,0,55,1
40,Panasonic TH-75FX750K 75-inch 4K Pro Ultra HD Smart TV,9799,15093,2,In stock,1,1,0,0,0,0,0,0,1,0,0,0,0,0,75,1
41,Sony X85F LED 4K ULTRA HD Smart Android TV,6299,6699,2,In stock,1,1,1,0,1,0,0,0,0,0,0,0,0,0,43,1
42,Sony 65-inch X70F LED 4K Ultra HD High Dynamic Range Smart TV,3999,4359,2,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,1,65,1
43,Sharp 40-inch Full HD TV,999,1399,2,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0
44,Sharp 50-inch Full HD Rasy Smart TV,1699,2499,2,In stock,0,1,0,1,0,0,0,0,0,0,0,0,0,0,50,0
45,Sharp 50-inch Full HD Basic TV,1599,2699,2,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0
46,Haier 50-inch 4K Ultra HD Smart LED TV,1885,2829,2,Out of stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50,1
47,Hisense 55-inch 4K Ultra HD Smart TV,2199,2699,3,In stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,55,1
48,Hisense 49-Inch HD LED Smart TV,1599,1899,3,In stock,0,1,1,0,0,0,0,0,0,0,0,0,0,0,49,0
49,Sharp 50-Inch 4K Ultra HD Easy Smart TV,1999,2499,2,In stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50,1
50,Sharp 45-Inch Full HD Basic LED TV,1299,1789,2,In stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45,0
51,Haier 32-Inch Full HD LED TV,749,889,2,Out of stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,32,0
52,Sharp 40-Inch Full HD LED TV,899,1349,2,Out of stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,40,0
53,Sony 75-Inch X85F LED 4K Ultra HDR Android TV,8999,9799,0,Out of stock,1,0,1,0,1,0,0,1,0,0,0,0,0,0,75,1
54,LG 75-Inch Smart 4K Ultra HD TV,7999,12999,0,Out of stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75,1
55,Sharp 70-Inch 4K Ultra HD Android TV,6999,9999,2,In stock,1,0,0,0,1,0,0,0,0,0,0,0,0,0,70,1
56,Hisense 65-Inch UHD TV,3899,4999,3,In stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1
57,Hisense 55-Inch UHD TV,2599,2999,0,In stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1
58,Samsung 40-Inch N5000 Full HD TV,1099,1602,2,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0
59,Samsung 49-Inch N5000 Full HD TV,1599,1899,2,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,0
60,Panasonic 43-Inch Full HD TV,1349,1935,2,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,0
61,MSI 27-Inch Curved Gaming Monitor Optix MAG27C | Senheng TV,1400,1400,2,In stock,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0
62,Hisense 50-Inch 4K UHD – A6100 - 50A6100UW | Senheng TV,1799,2399,3,In stock,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1
63,Hisense 50-Inch 4K UHD – A6501 - 50A6501UW | Senheng TV,2299,2599,3,In stock,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1
64,SHARP 70 IN ULTRA HD 4K SMART LED TV,5999,7999,2,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,70,1
65,Sharp 8K Resolution TV,24999,25999,2,In stock,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70,0
66,Sharp 8K Resolution TV,35999,36999,2,In stock,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70,0
67,Samsung 75-Inch Q75R QLED 4K UHD TV,19399,19999,2,In stock,1,0,1,0,0,0,1,0,0,0,0,0,0,0,75,1
68,Samsung 82-Inch Q60R QLED 4K UHD TV,16399,19999,2,In stock,1,0,1,0,0,0,1,0,0,0,0,0,0,0,82,1
69,Samsung 75-Inch Q60R QLED 4K UHD TV,12249,13999,2,In stock,1,0,1,0,0,0,1,0,0,0,0,0,0,0,75,1
70,Samsung 65-Inch Q60R QLED 4K UHD TV,8049,8999,2,In stock,1,0,1,0,0,0,1,0,0,0,0,0,0,0,65,1
